geogname	lat	long
Boulevard du Général d'Armée Jean Simon	48.8254973	2.3812821
Boulevard du Général Martial Valin	48.8371645	2.274022
Boulevard du Montparnasse	48.8430905	2.3265248
Boulevard du Palais	48.8552363	2.3458468
Boulevard du Temple	48.8648664	2.3656742
Boulevard Edgar Quinet	48.8406453	2.3267932
Boulevard Emile Augier	48.8614015	2.2735998
Boulevard Exelmans	48.8424101	2.2618176
Boulevard Flandrin	48.8677757	2.2735509
Boulevard Garibaldi	48.8466543	2.3063603
Boulevard Gouvion-Saint-Cyr	48.8825404	2.2867273
Boulevard Haussmann	48.8743626	2.3227422
Boulevard Henri IV	48.8511849	2.3625962
Boulevard Jourdan	48.8212708	2.3347565
Boulevard Jules Ferry	48.8673488	2.3680865
Boulevard Jules Sandeau	48.8622521	2.2725349
Boulevard Kellermann	48.821052	2.3522842
Boulevard Lannes	48.8668671	2.2718282
Boulevard Lefebvre	48.8297569	2.2963033
Boulevard Macdonald	48.8989035	2.3825722
Boulevard Malesherbes	48.8798303	2.3138121
Boulevard Marbeau	48.8748268	2.2788384
Boulevard Masséna	48.8213725	2.3683562
Boulevard Montmartre	48.8717401	2.3416246
Boulevard Morland	48.8493218	2.3641998
Boulevard Mortier	48.8709749	2.4087004
Boulevard Murat	48.8433028	2.2565531
Boulevard Ney	48.8981541	2.3493482
Boulevard Ornano	48.8949368	2.3469828
Boulevard Pasteur	48.8420843	2.3135418
Boulevard Pereire	48.8845342	2.2967441
Boulevard Pershing	48.8805276	2.283755
Boulevard Poissonnière	48.8710599	2.3457384
Boulevard Poniatowski	48.83119	2.3961791
Boulevard Raspail	48.8455986	2.3286427
Boulevard Richard Lenoir	48.8597698	2.3718138
Boulevard Romain Rolland	48.8206733	2.3217151
Boulevard Saint-Denis	48.8698053	2.3526948
Boulevard Saint-Denis	48.8693295	2.3542482
Boulevard Saint-Germain	48.8534856	2.3346903
Boulevard Saint-Jacques	48.8328981	2.3377565
Boulevard Saint-Marcel	48.8384567	2.3569316
Boulevard Saint-Martin	48.8685	2.3588267
Boulevard Saint-Michel	48.8471939	2.3407723
Boulevard Soult	48.8412213	2.4092016
Boulevard Suchet	48.8554167	2.2634674
Boulevard Thierry de Martel	48.8767767	2.2799785
Boulevard Victor	48.8344094	2.2836776
Boulevard Vincent Auriol	48.834049	2.3649229
Boulevard Voltaire	48.8576715	2.3803565
Butte-aux-Cailles	48.8271912	2.3490795
Canal Saint-Martin	48.8650209	2.3672868
Carrefour de la Ferme-de-la-Faisanderie	48.8238261	2.4577216
Carrefour de la Patte d'Oie	48.8217501	2.4422217
Carrefour de la Pyramide	48.8338659	2.4452926
Carrefour de l'Odéon	48.852111	2.3386788
Carrefour de Longchamp	48.8644832	2.2379018
Carrefour des Cascades	48.858479	2.2579509
Carrefour des Tribunes	48.8615314	2.2295418
Charonne	48.8525023	2.4031934
Chaussée de la Muette	48.8582309	2.2725249
Chaussée-d'Antin	48.8728752	2.3303724
Chemin Baudin	48.8872225	2.3305342
Chemin Bourget	48.8613709	2.391011
Chemin de Ceinture du Lac Inférieur	48.8633852	2.2619208
